INFO : 2019-11-09 22:16:08,698 : have gotten 2008/1 data
WARNING : 2019-11-09 22:16:14,905 : cannot get 2008/2 data
WARNING : 2019-11-09 22:16:14,908 : cannot get 2008/3 data
WARNING : 2019-11-09 22:16:14,912 : cannot get 2008/4 data
WARNING : 2019-11-09 22:16:14,914 : cannot get 2008/5 data
WARNING : 2019-11-09 22:16:14,915 : cannot get 2008/6 data
WARNING : 2019-11-09 22:16:14,917 : cannot get 2008/7 data
WARNING : 2019-11-09 22:16:14,918 : cannot get 2008/8 data
WARNING : 2019-11-09 22:16:14,919 : cannot get 2008/9 data
WARNING : 2019-11-09 22:16:14,920 : cannot get 2008/10 data
WARNING : 2019-11-09 22:16:14,920 : cannot get 2008/11 data
WARNING : 2019-11-09 22:16:14,921 : cannot get 2008/12 data
WARNING : 2019-11-09 22:16:14,922 : cannot get 2009/1 data
WARNING : 2019-11-09 22:16:14,923 : cannot get 2009/2 data
WARNING : 2019-11-09 22:16:14,924 : cannot get 2009/3 data
WARNING : 2019-11-09 22:16:14,925 : cannot get 2009/4 data
WARNING : 2019-11-09 22:16:14,926 : cannot get 2009/5 data
WARNING : 2019-11-09 22:16:14,926 : cannot get 2009/6 data
WARNING : 2019-11-09 22:16:14,927 : cannot get 2009/7 data
WARNING : 2019-11-09 22:16:14,927 : cannot get 2009/8 data
WARNING : 2019-11-09 22:16:14,928 : cannot get 2009/9 data
WARNING : 2019-11-09 22:16:14,928 : cannot get 2009/10 data
WARNING : 2019-11-09 22:16:14,929 : cannot get 2009/11 data
WARNING : 2019-11-09 22:16:14,930 : cannot get 2009/12 data
WARNING : 2019-11-09 22:16:14,931 : cannot get 2010/1 data
WARNING : 2019-11-09 22:16:14,932 : cannot get 2010/2 data
WARNING : 2019-11-09 22:16:14,932 : cannot get 2010/3 data
WARNING : 2019-11-09 22:16:14,933 : cannot get 2010/4 data
WARNING : 2019-11-09 22:16:14,934 : cannot get 2010/5 data
WARNING : 2019-11-09 22:16:14,935 : cannot get 2010/6 data
WARNING : 2019-11-09 22:16:14,935 : cannot get 2010/7 data
WARNING : 2019-11-09 22:16:14,936 : cannot get 2010/8 data
WARNING : 2019-11-09 22:16:14,936 : cannot get 2010/9 data
WARNING : 2019-11-09 22:16:14,937 : cannot get 2010/10 data
WARNING : 2019-11-09 22:16:14,937 : cannot get 2010/11 data
WARNING : 2019-11-09 22:16:14,938 : cannot get 2010/12 data
WARNING : 2019-11-09 22:16:14,938 : cannot get 2011/1 data
WARNING : 2019-11-09 22:16:14,939 : cannot get 2011/2 data
WARNING : 2019-11-09 22:16:14,939 : cannot get 2011/3 data
WARNING : 2019-11-09 22:16:14,940 : cannot get 2011/4 data
WARNING : 2019-11-09 22:16:14,941 : cannot get 2011/5 data
WARNING : 2019-11-09 22:16:14,943 : cannot get 2011/6 data
WARNING : 2019-11-09 22:16:14,944 : cannot get 2011/7 data
WARNING : 2019-11-09 22:16:14,946 : cannot get 2011/8 data
WARNING : 2019-11-09 22:16:14,948 : cannot get 2011/9 data
WARNING : 2019-11-09 22:16:14,957 : cannot get 2011/10 data
WARNING : 2019-11-09 22:16:14,962 : cannot get 2011/11 data
WARNING : 2019-11-09 22:16:14,967 : cannot get 2011/12 data
WARNING : 2019-11-09 22:16:14,969 : cannot get 2012/1 data
WARNING : 2019-11-09 22:16:14,974 : cannot get 2012/2 data
WARNING : 2019-11-09 22:16:14,977 : cannot get 2012/3 data
